CallerClass,CallerMethod,Permission
com/android/server/accounts/AccountManagerService,removeAccountExplicitly,android.permission.AUTHENTICATE_ACCOUNTS
com/android/server/accounts/AccountManagerService,setAuthToken,android.permission.AUTHENTICATE_ACCOUNTS
com/android/server/accounts/AccountManagerService,peekAuthToken,android.permission.AUTHENTICATE_ACCOUNTS
com/android/server/accounts/AccountManagerService,setPassword,android.permission.AUTHENTICATE_ACCOUNTS
com/android/server/accounts/AccountManagerService,setUserData,android.permission.AUTHENTICATE_ACCOUNTS
com/android/server/accounts/AccountManagerService,renameAccount,android.permission.AUTHENTICATE_ACCOUNTS
com/android/server/accounts/AccountManagerService,getUserData,android.permission.AUTHENTICATE_ACCOUNTS
com/android/server/accounts/AccountManagerService,addAccountExplicitly,android.permission.AUTHENTICATE_ACCOUNTS
com/android/server/accounts/AccountManagerService,getPassword,android.permission.AUTHENTICATE_ACCOUNTS
android/app/NativeActivity,onLowMemory,android.permission.BACKUP
android/accessibilityservice/AccessibilityService,findFocus,android.permission.BACKUP
android/accessibilityservice/AccessibilityService,getRootInActiveWindow,android.permission.BACKUP
android/app/UiAutomation,getRootInActiveWindow,android.permission.BACKUP
android/app/UiAutomation,findFocus,android.permission.BACKUP
android/app/ActivityThread,main,android.permission.BACKUP
android/media/MediaPlayer,create,android.permission.BACKUP
android/media/MediaPlayer,create,android.permission.BACKUP
android/media/MediaPlayer,create,android.permission.BACKUP
android/media/SubtitleController,selectTrack,android.permission.BACKUP
android/media/SubtitleController,hide,android.permission.BACKUP
android/graphics/Picture,<init>,android.permission.BACKUP
android/graphics/Picture,createFromStream,android.permission.BACKUP
android/media/MediaPlayer,create,android.permission.BACKUP
android/media/MediaPlayer,deselectTrack,android.permission.BACKUP
android/media/SubtitleController,show,android.permission.BACKUP
android/media/MediaPlayer,selectTrack,android.permission.BACKUP
android/media/SubtitleController,selectDefaultTrack,android.permission.BACKUP
android/os/Handler,dispatchMessage,android.permission.BACKUP
android/os/HandlerThread,run,android.permission.BACKUP
android/media/MediaPlayer,create,android.permission.BACKUP
android/filterpacks/videosrc/MediaSource,open,android.permission.BACKUP
android/graphics/Picture,<init>,android.permission.BACKUP
android/media/MediaPlayer,prepare,android.permission.BACKUP
android/media/Ringtone,setAudioAttributes,android.permission.BACKUP
android/media/MediaPlayer,reset,android.permission.BACKUP
android/os/Looper,loop,android.permission.BACKUP
android/media/Ringtone,setUri,android.permission.BACKUP
android/media/SubtitleController,reset,android.permission.BACKUP
android/media/Ringtone,setStreamType,android.permission.BACKUP
com/android/internal/telephony/uicc/SIMRecords,handleMessage,android.permission.BACKUP
com/android/internal/telephony/uicc/RuimRecords,handleMessage,android.permission.BACKUP
com/android/internal/telephony/uicc/IsimUiccRecords,handleMessage,android.permission.BACKUP
com/android/internal/telephony/cdma/CdmaSubscriptionSourceManager,handleMessage,android.permission.BACKUP
com/android/internal/telephony/uicc/IccRecords,handleMessage,android.permission.BACKUP
com/android/internal/telephony/PhoneProxy,handleMessage,android.permission.BACKUP
com/android/browser/Controller,closeOtherTabs,android.permission.BACKUP
com/android/commands/uiautomator/Launcher,main,android.permission.BACKUP
com/android/browser/BrowserWebView,destroy,android.permission.BACKUP
com/android/commands/monkey/MonkeySourceNetworkViews$GetChildren,query,android.permission.BACKUP
com/android/commands/monkey/MonkeySourceNetworkViews$GetParent,query,android.permission.BACKUP
com/android/commands/monkey/MonkeySourceNetworkViews$GetRootViewCommand,translateCommand,android.permission.BACKUP
com/android/commands/monkey/MonkeySourceNetworkViews$GetViewsWithTextCommand,translateCommand,android.permission.BACKUP
com/android/commands/monkey/MonkeySourceNetworkViews$SetFocused,query,android.permission.BACKUP
com/android/commands/monkey/MonkeySourceNetworkViews$SetSelected,query,android.permission.BACKUP
com/android/browser/BrowserActivity,onLowMemory,android.permission.BACKUP
com/android/browser/Preloader,discardPreload,android.permission.BACKUP
com/android/commands/monkey/MonkeySourceNetworkViews$QueryViewCommand,translateCommand,android.permission.BACKUP
com/android/browser/Controller,onLowMemory,android.permission.BACKUP
com/android/browser/Controller,dismissSubWindow,android.permission.BACKUP
com/android/browser/PreloadedTabControl,destroy,android.permission.BACKUP
com/android/commands/monkey/MonkeySourceNetwork,getNextEvent,android.permission.BACKUP
com/android/commands/uiautomator/DumpCommand,run,android.permission.BACKUP
com/android/email/activity/setup/DebugFragment,onClick,android.permission.BACKUP
com/android/gallery3d/app/MoviePlayer,onPause,android.permission.BACKUP
com/android/gallery3d/ui/SynchronizedHandler,dispatchMessage,android.permission.BACKUP
android/webkit/WebView,capturePicture,android.permission.BACKUP
android/widget/VideoView,suspend,android.permission.BACKUP
android/webkit/WebViewFragment,onCreateView,android.permission.BACKUP
android/webkit/WebView,destroy,android.permission.BACKUP
com/android/server/backup/Trampoline,beginRestoreSession,android.permission.BACKUP
com/android/server/backup/Trampoline,backupNow,android.permission.BACKUP
com/android/server/backup/Trampoline,hasBackupPassword,android.permission.BACKUP
com/android/uiautomator/core/UiScrollable,scrollDescriptionIntoView,android.permission.BACKUP
com/android/uiautomator/core/UiCollection,getChildByDescription,android.permission.BACKUP
com/android/server/backup/Trampoline,isBackupEnabled,android.permission.BACKUP
com/android/server/backup/Trampoline,setBackupProvisioned,android.permission.BACKUP
com/android/server/backup/Trampoline,setAutoRestore,android.permission.BACKUP
com/android/server/backup/Trampoline,fullBackup,android.permission.BACKUP
com/android/server/backup/Trampoline,setBackupPassword,android.permission.BACKUP
com/android/uiautomator/core/UiScrollable,scrollIntoView,android.permission.BACKUP
com/android/uiautomator/core/UiCollection,getChildByText,android.permission.BACKUP
com/android/uiautomator/core/UiScrollable,scrollIntoView,android.permission.BACKUP
com/android/server/backup/Trampoline,fullTransportBackup,android.permission.BACKUP
com/android/server/backup/Trampoline,fullRestore,android.permission.BACKUP
com/android/server/backup/Trampoline,getConfigurationIntent,android.permission.BACKUP
